Vehicle Year-Model,Coefficient,Ranking
1996.0_GRAND CHEROKEE,-11.978068835744725,5111.0
2001.0_INSIGHT,-7.762122483666524,5110.0
1997.0_PRIZM,-7.034694318496462,5109.0
2020.0_CHARGER,-6.7865664314981755,5108.0
1989.0_RAM PICKUP,-6.77584409569513,5107.0
1995.0_MAXIMA,-6.742171629435921,5106.0
1996.0_AVENGER,-5.9926258796150735,5105.0
1999.0_PASSPORT,-5.732828630292442,5104.0
2008.0_C-CLASS,-5.489026806149052,5103.0
2000.0_SILVERADO,-5.16991060964307,5102.0
1983.0_F-250,-5.156728084887082,5101.0
2015.0_SEDONA,-5.065491536818701,5100.0
2018.0_Q60,-4.982765046475516,5099.0
1977.0_SEVILLE,-4.948613386213796,5098.0
1995.0_G2500 VANDURA,-4.911792952284746,5097.0
2001.0_TAHOE,-4.8072866389926565,5096.0
1995.0_CIVIC DEL SOL,-4.758602133770613,5095.0
1994.0_RANGER,-4.702726227344369,5094.0
2011.0_MKX,-4.6562926415271635,5093.0
2002.0_CIVIC,-4.631996467711956,5092.0
2001.0_METRO,-4.6156275314653366,5091.0
1999.0_AVENGER,-4.532303876955178,5090.0
1998.0_MONTE CARLO,-4.514115441995324,5089.0
2008.0_A4,-4.50995582539752,5088.0
1988.0_K1500,-4.351167470548497,5087.0
1995.0_TOWN & COUNTRY,-4.332269159951152,5086.0
2014.0_200,-4.200423187734937,5085.0
2002.0_AZTEK,-4.193114748352993,5084.0
2020.0_VELOSTER,-4.159400544116372,5083.0
1988.0_DELTA 88,-4.125073018204545,5082.0
2002.0_COOPER,-4.121562767789164,5081.0
1998.0_ES 300,-4.079088829589402,5080.0
1996.0_PROBE,-4.0753243004307365,5079.0
2003.0_LIBERTY,-4.054708098660373,5078.0
2011.0_F-250,-3.9803426131111435,5077.0
1998.0_MARK VIII,-3.9792035430774844,5076.0
1994.0_CAMARO,-3.9613818510413528,5075.0
2002.0_GRAND AM,-3.9482755592690926,5074.0
2009.0_FUSION,-3.92426386949139,5073.0
1998.0_C2500,-3.889020594956948,5072.0
2009.0_E-CLASS,-3.8625733416315033,5071.0
2000.0_RAV4,-3.8567408492905413,5070.0
1991.0_300ZX,-3.8516929086839204,5069.0
2000.0_DISCOVERY II,-3.7919131025407107,5068.0
2018.0_FUSION,-3.7901926550890894,5067.0
