Ranking,Vehicle Year-Model,Coefficient
5111.0,1996.0_GRAND CHEROKEE,-252.4151716335275
5110.0,2014.0_SANTA FE,-198.03098295574927
5109.0,2001.0_INSIGHT,-194.02962420301205
5108.0,1996.0_AVENGER,-156.48633450431814
5107.0,1995.0_MAXIMA,-155.86080544330548
5106.0,1997.0_PRIZM,-152.3637896536006
5105.0,1988.0_DELTA 88,-150.15663582134135
5104.0,1989.0_RAM PICKUP,-148.72204594709444
5103.0,1999.0_PASSPORT,-137.70076547813537
5102.0,2011.0_FOCUS,-132.09942761282676
5101.0,2009.0_MUSTANG,-130.64360545079154
5100.0,1997.0_MAXIMA,-127.60088433567037
5099.0,1998.0_MARK VIII,-126.89482811715129
5098.0,2008.0_COMPASS,-121.77185980991612
5097.0,1995.0_TOWN & COUNTRY,-119.72633215610887
5096.0,2021.0_RAV4,-117.32557381329651
5095.0,1988.0_VAN,-115.71095500682179
5094.0,2005.0_S-TYPE,-114.41274513380188
5093.0,2013.0_FORTE KOUP,-113.88514049722995
5092.0,1988.0_XJ6,-113.54032322974957
5091.0,2018.0_Q60,-112.66478166933028
5090.0,1990.0_F-350,-111.86402589583224
5089.0,2007.0_ACCORD,-111.2500391615233
5088.0,2011.0_ENDEAVOR,-108.00981859323402
5087.0,2002.0_RAV4,-106.01740159348414
5086.0,2007.0_TACOMA,-105.83246598931623
5085.0,2001.0_METRO,-105.50255777004938
5084.0,1977.0_SEVILLE,-105.41713875039055
5083.0,2018.0_CX-5,-103.90739667683378
5082.0,1991.0_300ZX,-103.17560456622411
5081.0,1998.0_C2500,-102.42060255908275
5080.0,2011.0_ACCORD,-101.81906900776806
5079.0,2001.0_TAHOE,-100.99494081876753
5078.0,2014.0_500,-100.70351633701576
5077.0,1989.0_CUTLASS CALAIS,-100.38329706281671
5076.0,1970.0_280,-100.35322118934927
5075.0,1988.0_200SX,-100.26652418068343
5074.0,2003.0_SANTA FE,-100.07160713694168
5073.0,1994.0_CLUB WAGON,-99.51402185032332
5072.0,1996.0_900,-99.2424561472723
5071.0,2008.0_C-CLASS,-98.59224953854162
5070.0,2014.0_OPTIMA,-98.52379965765877
5069.0,2002.0_COOPER,-98.37865226356004
5068.0,1999.0_CELICA,-97.4505807383468
5067.0,1996.0_ELDORADO,-97.24680266368422
5066.0,2004.0_VENTURE,-96.4692135153285
5065.0,2008.0_SEDONA,-95.59990992192408
5064.0,2002.0_CIVIC,-95.53664078683374
5063.0,2005.0_MONTE CARLO,-94.9359251526007
5062.0,2005.0_PRIUS,-94.91778068324531
5061.0,2001.0_EXPEDITION,-94.75466879965785
5060.0,2008.0_SPECTRA,-94.49923995069513
5059.0,1996.0_PRIZM,-94.42236078343839
5058.0,2007.0_MONTEGO,-94.30104961785098
5057.0,2009.0_SPORTAGE,-94.0526051367516
5056.0,2020.0_CHARGER,-93.9759210642956
5055.0,2011.0_C-CLASS,-93.93171636920117
5054.0,2020.0_OPTIMA,-93.84997350715463
5053.0,1992.0_SENTRA,-93.8367925823098
5052.0,1983.0_F-250,-93.73719179193697
5051.0,2020.0_RENEGADE,-93.53385518983738
5050.0,2002.0_AZTEK,-93.26600794721901
5049.0,2001.0_YUKON XL,-92.59316626198502
5048.0,2008.0_RDX,-92.4422939001557
5047.0,2007.0_SORENTO,-91.527440716406
5046.0,2013.0_ELANTRA,-91.16113969510519
5045.0,2012.0_COOPER,-90.79915942367762
5044.0,2000.0_RAV4,-90.43192570907738
5043.0,1989.0_TROOPER II,-90.40599132923661
5042.0,2006.0_TERRAZA,-89.73133308502788
5041.0,2002.0_TOWN & COUNTRY,-89.62307230128614
5040.0,1998.0_F-150,-89.1746381168436
5039.0,2007.0_IMPALA,-88.54745164345378
5038.0,2000.0_VOYAGER,-88.4174121110804
5037.0,2012.0_OUTBACK,-88.31334792988648
5036.0,2002.0_GRAND PRIX,-87.99814124708766
5035.0,2003.0_LIBERTY,-87.13179359090755
5034.0,2006.0_SOLSTICE,-86.80885487355152
5033.0,2009.0_SIERRA,-86.6691572490603
5032.0,1995.0_TRANS SPORT,-86.22922813284535
5031.0,1975.0_SABLE,-86.19024852846641
5030.0,1997.0_INTREPID,-86.06940511292858
5029.0,1998.0_EXPEDITION,-85.68557756611037
5028.0,2013.0_PATRIOT,-85.62533938596722
5027.0,1999.0_ECONOLINE WAGON,-85.45419668089501
5026.0,2001.0_DISCOVERY II,-85.44603944161027
5025.0,2015.0_500L,-84.81552821209031
5024.0,2000.0_VILLAGER,-84.79699821502929
5023.0,2018.0_FUSION,-84.79302537522327
5022.0,2006.0_MAZDASPEED6,-84.63687753661094
