n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_test_score,std_test_score
100,10,log2,5,4,-0.4148539822725331,0.12124421103594149
200,10,log2,5,4,-0.4187753464428902,0.12427646752768974
300,10,log2,5,4,-0.41786515905823407,0.12304971742282513
100,10,log2,10,4,-0.4131038146162451,0.11735266088658618
200,10,log2,10,4,-0.417731361562387,0.12117584586033818
300,10,log2,10,4,-0.41477845635526106,0.12169848648622708
100,20,log2,5,4,-0.41516443572841777,0.12054993427380206
200,20,log2,5,4,-0.4165284598350216,0.12145159521147397
300,20,log2,5,4,-0.41638736504657536,0.12230047657492463
100,20,log2,10,4,-0.4172290565710045,0.12205953430414851
200,20,log2,10,4,-0.4174315479418624,0.12319534741853504
300,20,log2,10,4,-0.4161725241256232,0.12122897783917679
100,30,log2,5,4,-0.41679213379260494,0.12350728173302393
200,30,log2,5,4,-0.41491382378652225,0.1208609291338695
300,30,log2,5,4,-0.41666798240734676,0.12245053601574786
100,30,log2,10,4,-0.4195085114277086,0.12220682695019848
200,30,log2,10,4,-0.41527022325316565,0.12010478021497749
300,30,log2,10,4,-0.4165633133090559,0.12347971503999079
