n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_test_score,std_test_score
100,10,log2,5,4,-0.4138699991414822,0.15881418968795435
200,10,log2,5,4,-0.41435904437038856,0.16083909709930508
300,10,log2,5,4,-0.41429523828549053,0.16139021763197192
100,10,log2,10,4,-0.4145522520018606,0.15959866774979994
200,10,log2,10,4,-0.4145192722958141,0.16196692406380034
300,10,log2,10,4,-0.4141356072607226,0.160220926972075
100,20,log2,5,4,-0.41113981974860925,0.16202626056949843
200,20,log2,5,4,-0.41230221381394666,0.16100639377099568
300,20,log2,5,4,-0.40866768976375367,0.15731166736513783
100,20,log2,10,4,-0.41260026202585764,0.1622597923466521
200,20,log2,10,4,-0.41180526805869244,0.15884656623551321
300,20,log2,10,4,-0.4115480812603273,0.16037800208851447
100,30,log2,5,4,-0.41216608550513945,0.16122892880528425
200,30,log2,5,4,-0.41121953920368626,0.1593603726558722
300,30,log2,5,4,-0.4112019324439742,0.15992526179824992
100,30,log2,10,4,-0.4136844379427157,0.16055575033299258
200,30,log2,10,4,-0.41298833995581263,0.16157006291654338
300,30,log2,10,4,-0.41176286100136716,0.15788398902650025
