Combination,Count
"('TIRE 13-16', 'WHEEL STEEL')",462
"('WINDOW REGULATOR', 'WINDOW MOTOR')",416
"('HOOD', 'FENDER CAR')",397
"('BUMPER  STEEL', 'HEADLAMP COMPOSITE')",393
"('FENDER CAR', 'HEADLAMP COMPOSITE')",384
"('BUMPER  STEEL', 'FENDER CAR')",354
"('WHEEL ALUMINUM', 'TIRE 13-16')",348
"('HOOD', 'BUMPER  STEEL')",307
"('HOOD', 'HEADLAMP COMPOSITE')",296
"('A/C CONDENSER', 'RADIATOR')",295
"('DOOR CAR', 'FENDER CAR')",247
"('BUMPER  STEEL', 'GRILL ANY')",238
"('INNER FENDER', 'FENDER CAR')",225
"('GRILL ANY', 'HEADLAMP COMPOSITE')",191
"('BUMPER  STEEL', 'TAIL LIGHT EACH')",190
"('RADIATOR', 'FAN ELECTRIC')",169
"('HEADLAMP COMPOSITE', 'RADIATOR')",155
"('HUB BEARING', 'SPINDLE /KNUCKLE')",147
"('HOOD', 'RADIATOR')",140
"('BUMPER  STEEL', 'FOG LAMP')",138
"('STRUT AND SPRING', 'CONTROL ARM')",138
"('HOOD', 'GRILL ANY')",136
"('RADIATOR SUPPORT BARE', 'RADIATOR')",135
"('KNUCKLE/ SPINDLE', 'HUB BEARING')",135
"('A/C CONDENSER', 'RADIATOR SUPPORT BARE')",129
"('A/C CONDENSER', 'HEADLAMP COMPOSITE')",129
"('BUMPER  STEEL', 'BUMPER REINFORCEMENT')",126
"('SEAT BENCH', 'SEAT BUCKET MANUAL')",125
"('GRILL ANY', 'FENDER CAR')",125
"('HOOD', 'RADIATOR SUPPORT BARE')",124
"('HOOD', 'BUMPER REINFORCEMENT')",123
"('A/C CONDENSER', 'FAN ELECTRIC')",119
"('HEADLAMP COMPOSITE', 'TAIL LIGHT EACH')",119
"('A/C CONDENSER', 'HOOD')",117
"('RADIATOR SUPPORT BARE', 'FENDER CAR')",113
"('BUMPER  STEEL', 'RADIATOR')",113
"('FENDER CAR', 'RADIATOR')",112
"('INNER FENDER', 'HEADLAMP COMPOSITE')",107
"('HEADLAMP COMPOSITE', 'BUMPER REINFORCEMENT')",107
"('RADIATOR SUPPORT BARE', 'HEADLAMP COMPOSITE')",107
"('BUMPER  STEEL', 'INNER FENDER')",107
"('RADIATOR SUPPORT BARE', 'BUMPER REINFORCEMENT')",105
"('RADIATOR', 'BUMPER REINFORCEMENT')",105
"('FAN ELECTRIC (DUAL)', 'RADIATOR')",104
"('CONSOLE (ANY)', 'SEAT BUCKET MANUAL')",103
"('BUMPER  STEEL', 'RADIATOR SUPPORT BARE')",101
"('FENDER CAR', 'BUMPER REINFORCEMENT')",100
"('TRUNK LID NO LIGHTS', 'TAIL LIGHT EACH')",100
"('CONTROL ARM', 'HUB BEARING')",99
"('FENDER CAR', 'TAIL LIGHT EACH')",99
"('A/C CONDENSER', 'BUMPER  STEEL')",98
"('BUMPER  STEEL', 'DOOR CAR')",93
"('FAN BLADE', 'FAN CLUTCH')",90
"('STEERING WHEEL', 'STEERING COLUMN')",89
"('MUFFLER PIPE', 'MUFFLER (ANY)')",89
"('A/C CONDENSER', 'FENDER CAR')",88
"('A/C CONDENSER', 'BUMPER REINFORCEMENT')",87
"('WHEEL ALUMINUM', 'TIRE (AS-IS) 15-16')",86
"('CONTROL ARM', 'KNUCKLE/ SPINDLE')",86
"('CONSOLE (ANY)', 'CONSOLE LID')",86
"('BUMPER  STEEL', 'GRILL SMALL')",85
"('HOOD', 'INNER FENDER')",83
"('FOG LAMP', 'HEADLAMP COMPOSITE')",82
"('YOKE', 'DRIVE SHAFT')",81
"('MOLDING EXTERIOR(19 PER INCH)', 'TAIL LIGHT EACH')",81
"('SPEAKER TWEETER', 'RADIO')",80
"('CONTROL ARM', 'C-V AXLE FRONT  DRIVE')",78
"('DOOR CAR', 'HEADLAMP COMPOSITE')",78
"('STRUT AND SPRING', 'FENDER CAR')",77
"('POWER MIRROR -DOOR', 'TAIL LIGHT EACH')",76
"('MOLDING EXTERIOR(19 PER INCH)', 'HEADLAMP COMPOSITE')",76
"('STRUT AND SPRING', 'HUB BEARING')",76
"('BRAKE MASTER CYLINDER', 'BRAKE FLUID RESEVOIR')",75
"('ENGINE ANY', 'TRANSMISSION ANY')",75
"('A/C CONDENSER', 'FAN ELECTRIC (DUAL)')",75
"('HOOD', 'DOOR CAR')",73
"('STRUT AND SPRING', 'KNUCKLE/ SPINDLE')",72
"('BUMPER  STEEL', 'TRIM/ FLARES')",72
"('TIRE (AS-IS) 15-16', 'WHEEL STEEL')",72
"('FAN SHROUD', 'RADIATOR')",71
"('HOOD', 'GRILL SMALL')",70
"('DOOR CAR', 'TAIL LIGHT EACH')",70
"('ALTERNATOR', 'A/C COMPRESSOR')",69
"('BUMPER  STEEL', 'TRUNK LID NO LIGHTS')",69
"('BRAKE ROTOR (NO HUB)', 'HUB BEARING')",69
"('CONTROL ARM', 'SPINDLE /KNUCKLE')",68
"('HUB BEARING', 'C-V AXLE FRONT  DRIVE')",67
"('GRILL SMALL', 'HEADLAMP COMPOSITE')",67
"('POWER MIRROR -DOOR', 'FENDER CAR')",66
"('JACK ANY', 'JACK HANDLE')",64
"('RADIATOR SUPPORT BARE', 'GRILL ANY')",64
"('BRAKE MASTER CYLINDER', 'BRAKE POWER/HYDRO BOOSTER')",64
"('PARK/TURNLAMP ASSY', 'HEADLAMP COMPOSITE')",63
"('HOOD', 'TAIL LIGHT EACH')",62
"('BUMPER  STEEL', 'BUMPER FILLER')",62
"('GRILL ANY', 'RADIATOR')",62
"('TIRE (AS-IS) 17', 'WHEEL ALUMINUM')",62
"('HEADLAMP COMPOSITE', 'FAN ELECTRIC')",61
"('POWER MIRROR -DOOR', 'HEADLAMP COMPOSITE')",61
"('BUMPER PLASTIC', 'HEADLAMP COMPOSITE')",61
"('HOOD', 'FAN ELECTRIC')",60
"('KNUCKLE/ SPINDLE', 'C-V AXLE FRONT  DRIVE')",59
"('BUMPER  STEEL', 'MOLDING EXTERIOR(19 PER INCH)')",58
"('TRIM/ FLARES', 'FENDER CAR')",57
"('BRAKE ROTOR (NO HUB)', 'BRAKE CALIPER BIG')",57
"('WASHER BOTTLE', 'RADIATOR')",56
"('PARK/TURNLAMP ASSY', 'TAIL LIGHT EACH')",54
"('MOLDING EXTERIOR(19 PER INCH)', 'FENDER CAR')",54
"('BRACKET ANY', 'FENDER CAR')",54
"('FUEL INJECTION RAIL', 'FUEL INJECTOR (EACH)')",54
"('BUMPER REINFORCEMENT', 'FAN ELECTRIC')",54
"('RADIATOR SUPPORT BARE', 'INNER FENDER')",53
"('AIR BREATHER TUBE', 'AIR CLEANER HOUSING')",53
"('MOLDING EXTERIOR(19 PER INCH)', 'BRACKET ANY')",52
"('RADIATOR BOTTLE', 'RADIATOR')",52
"('INNER FENDER', 'MOLDING EXTERIOR(19 PER INCH)')",52
"('MOLDING EXTERIOR(19 PER INCH)', 'RADIATOR')",52
"('FENDER CAR', 'CONTROL ARM')",52
"('TRIM/ FLARES', 'HEADLAMP COMPOSITE')",51
"('STRUT AND SPRING', 'C-V AXLE FRONT  DRIVE')",51
"('FOG LAMP', 'GRILL ANY')",51
"('AC CONTROL (ELEC.)', 'RADIO BEZEL')",50
"('BUMPER  STEEL', 'FAN ELECTRIC')",50
"('ALTERNATOR', 'POWER STEERING PUMP')",50
"('BRAKE ROTOR', 'SPINDLE /KNUCKLE')",50
"('RADIATOR BOTTLE', 'FENDER CAR')",50
"('STRUT AND SPRING', 'HEADLAMP COMPOSITE')",49
"('RADIATOR SUPPORT BARE', 'FAN ELECTRIC')",48
"('WASHER BOTTLE', 'HEADLAMP COMPOSITE')",48
"('FOG LAMP', 'FENDER CAR')",48
"('FENDER CAR', 'WASHER BOTTLE')",48
"('HOOD', 'MOLDING EXTERIOR(19 PER INCH)')",48
"('GRILL ANY', 'BUMPER REINFORCEMENT')",47
"('BUMPER PLASTIC', 'FENDER CAR')",47
