Part,BaseValue,TotalAddedValue,CompleteValue
CONSOLE LID,4.552776025236595,4305.14388888889,4309.696664914126
THROTTLE BODY,29.95495327102804,6795.0616666666665,6825.0166199376945
COIL,8.521952662721894,1970.1957777777777,1978.7177304404995
SPOILER,17.491604278074867,3117.7800000000007,3135.2716042780753
BUMPER  STEEL,33.51219178082192,65519.27666666668,65552.7888584475
HOOD,34.85825293350717,50451.956666666665,50486.81491960017
SEAT SECTION CLOTH,7.990000000000002,687.6700000000001,695.6600000000001
BRAKE SHOE/PAD (EACH),1.817906976744186,407.97925000000004,409.79715697674425
DOOR CAR,45.175712062256814,21047.141000000003,21092.31671206226
HEADLAMP BEZEL,5.899090909090911,775.6116666666667,781.5107575757576
HEADLAMP COMPOSITE,22.894448038819252,33293.27945238096,33316.17390041977
TRANSFER CASE,59.99,602.14,662.13
RADIATOR BOTTLE,7.833280182232345,6782.176666666666,6790.009946848899
WIRE PIGTAIL,2.5632394366197193,1436.4797380952382,1439.042977531858
LOCK TUMBLER,4.99,12.98,17.97
SPEAKER TWEETER,3.1525683060109295,2073.622166666667,2076.774734972678
RADIO,10.895990016638935,6812.513333333332,6823.409323349972
ALTERNATOR,20.996548797736917,14018.86,14039.856548797738
TRANSMISSION ANY,166.7270892018779,18235.953333333335,18402.680422535213
ENGINE ANY,322.02098591549293,16109.430000000002,16431.450985915493
SHIFTER KNOB,4.0440540540540555,463.2616666666667,467.3057207207208
CD PLAYER,21.10842105263158,1963.7199999999998,1984.8284210526315
STARTER,23.727438752783968,8376.09,8399.817438752783
INTAKE MANIFOLD PLASTIC,20.10188811188811,2357.005,2377.106888111888
C-V AXLE FRONT  DRIVE,25.67539325842697,7489.9,7515.575393258427
CONSOLE (ANY),12.724823284823284,6587.530000000001,6600.254823284824
FENDER CAR,26.331036906854138,52355.50083333334,52381.831870240196
MOLDING EXTERIOR(19 PER INCH),0.19158520475561427,6132.695920791036,6132.887505995792
FUEL TANK SENDING UNIT W/PUMP,22.990000000000002,414.65000000000003,437.64000000000004
GLOVE BOX DOOR,6.503235294117649,3404.7533333333336,3411.256568627451
TAIL LIGHT EACH,16.1851951951952,23847.292310606063,23863.477505801256
ASH TRAY,3.819787234042555,410.6250000000001,414.4447872340427
FUEL INJECTOR (EACH),7.232,418.19270833333337,425.4247083333334
RELAY (EACH),2.5963829787234047,785.8407777777778,788.4371607565013
WIRE HARENESS 4FT BELOW,4.552962962962963,970.02,974.572962962963
A/C CONDENSER,21.963529411764707,24014.015000000003,24035.97852941177
AIR CLEANER HOUSING,10.508309859154929,5290.183333333333,5300.691643192488
WHEEL ALUMINUM,24.086983154670747,9593.724523809524,9617.811506964195
DOOR HANDLE OUTSIDE,5.986954314720814,3598.905166666667,3604.8921209813875
INTERIOR DOOR PANEL,7.97813056379822,2830.668333333333,2838.646463897131
SEAT BENCH,29.229321608040202,8437.645,8466.87432160804
INSTRUMENT CLUSTER,21.76032810271041,10478.729666666666,10500.489994769376
DASH (BARE),39.32268292682926,3477.789999999999,3517.1126829268283
SUN VISOR,4.981935483870969,5442.573333333334,5447.555268817205
SEAT BUCKET MANUAL,18.700784313725492,11138.316666666666,11157.017450980391
HEATER HOUSING,9.99,521.0600000000001,531.0500000000001
KNUCKLE/ SPINDLE,19.939438202247192,8140.76,8160.699438202248
BRAKE CALIPER S,14.246410256410254,1894.1693333333333,1908.4157435897434
BRAKE ROTOR (NO HUB),10.955342465753422,4387.655833333333,4398.611175799087
SUNROOF ASSEMBLY,46.63,1231.025,1277.6550000000002
VENT GLASS ASSEMBLY,17.267777777777777,380.765,398.03277777777777
CONTROL ARM,13.348571428571429,12536.091666666667,12549.440238095238
RADIATOR,33.571710775047265,39861.465,39895.03671077504
VALVE COVER ALUMINUM,12.685652173913043,1317.655,1330.340652173913
HEAD LINER,12.508750000000001,3698.39,3710.89875
CONTROL MODULE,24.694918032786887,1516.3383333333336,1541.0332513661206
COMPUTER BRAIN BOX,21.96435233160622,5010.603984126984,5032.56833645859
SPEAKER ANY,8.150220994475138,1554.1225,1562.272720994475
HORN,3.270952380952382,2021.7582142857143,2025.0291666666667
DASH PAD,18.756423357664236,4704.158333333333,4722.914756690997
HUB CAP/WHEEL COVER,2.97211009174312,3302.6588333333334,3305.6309434250766
REAR AXLE LOADED,172.0460747663552,3916.666666666666,4088.712741433021
RADIATOR SUPPORT BARE,28.83950848972297,21783.725,21812.564508489722
INNER FENDER,8.257355727820844,17968.833333333336,17977.090689061155
A/C COMPRESSOR,26.783807909604526,14581.310333333335,14608.094141242938
TIRE 13-16,18.433965065502182,14711.77240635345,14730.206371418952
HUB BEARING,14.649554140127385,9708.218333333332,9722.86788747346
WINDOW REGULATOR,10.837578692493945,10089.036333333333,10099.873912025827
TRUNK LID NO LIGHTS,24.141968503937008,9402.837,9426.978968503936
WHEEL STEEL,6.746994818652851,9160.915,9167.661994818654
GRILL ANY,19.953241436925648,24272.713333333333,24292.666574770257
AXLE SHAFT SOLID TYPE,19.176666666666666,847.0799999999999,866.2566666666665
SEAT COVER (EACH),3.2458139534883728,334.78766666666667,338.03348062015505
HINGE,4.48766355140187,1761.5525000000002,1766.0401635514022
RACK AND PINION MANUAL,30.577417218543044,5785.458333333334,5816.035750551877
A/C EVAPORATOR,15.790000000000001,136.9,152.69
FAN BELT,1.7376642335766423,1410.7366666666667,1412.4743309002433
STRUT AND SPRING,15.641818181818183,14970.261666666665,14985.903484848484
PCV VALVE,2.4900000000000007,134.98,137.47
FUEL PUMP,22.529841688654358,6395.745,6418.274841688654
TIRE (AS-IS) 17,22.15991596638656,1878.3908333333334,1900.5507492997199
AIR CLEANER LID,6.949420289855074,1882.2408333333333,1889.1902536231883
BUMPER GUARD,4.990000000000001,737.1750000000001,742.1650000000001
POWER STEERING PUMP,16.853543788187377,8721.45375,8738.307293788188
JUMPER CABLES,4.003559322033899,777.475,781.4785593220339
POWER MIRROR -DOOR,20.389325084364454,10887.693333333335,10908.0826584177
BUMPER END CAP,5.240000000000001,401.761,407.00100000000003
FUSE BOX (BARE),9.99,2994.299142857143,3004.289142857143
BRAKE FLUID RESEVOIR,5.976956521739131,1262.005,1267.9819565217392
VENT PANEL (COWL),7.647894736842107,1026.29,1033.937894736842
BRAKE CALIPER BIG,18.94326530612245,3501.4149999999995,3520.358265306122
SPINDLE /KNUCKLE,23.662955974842767,8122.296666666668,8145.959622641511
TRANSMISSION 6&8 CYL,164.69588235294117,2474.39,2639.085882352941
FAN CLUTCH,9.368059071729958,3328.4000000000005,3337.7680590717305
DOOR LOCK ACTUATOR,8.920769230769233,723.1133333333333,732.0341025641026
TIRE (AS-IS) 15-16,19.95688888888889,3024.5213095238096,3044.4781984126985
LATCH,5.989266503667482,5297.714166666667,5303.703433170334
TRIM/ FLARES,5.529257503949449,7901.301666666667,7906.8309241706165
TIMING GEAR COVER,8.048823529411766,635.99,644.0388235294117
EMBLEM (ANY),1.6810909090909087,414.52060606060616,416.2016969696971
MANUAL MIRROR -DOOR,8.973486238532109,1242.725,1251.698486238532
BATTERY (USED),22.402162162162163,1919.8758333333333,1942.2779954954954
TAIL GATE,46.73553571428572,5020.357321428572,5067.092857142858
CARPET,15.382996108949415,4212.175,4227.55799610895
CAM SHAFT,18.740000000000002,1119.105,1137.845
PULLEY BARE,5.902500000000001,1335.6799999999998,1341.5824999999998
HEADLAMP DOOR (EACH),9.99,61.364999999999995,71.35499999999999
WIPER ARM,4.486350364963505,1062.11,1066.5963503649634
SWAY BAR,12.29379746835443,1037.735,1050.0287974683542
INSTRUMENT CLUSTER BEZEL,9.503936430317847,5648.5683333333345,5658.072269763652
FAN BLADE,5.760432692307693,3300.5750000000003,3306.335432692308
MOUNT ENGINE TRANSMISSION,9.448128078817733,2147.7375,2157.185628078818
FUEL INJECTION RAIL,7.269069767441861,2417.6775,2424.946569767442
